# x	y	u	v	mask
  0.2797	  3.5226	 -0.0645	 -2.7249	  0.0000
  0.5284	  3.5226	 -0.2413	 -3.0296	  0.0000
  0.7770	  3.5226	 -0.1527	 -3.1798	  0.0000
  1.0257	  3.5226	 -0.1111	 -3.1535	  0.0000
  1.2743	  3.5226	 -0.0691	 -3.1429	  0.0000
  1.5230	  3.5226	  0.0217	 -2.8624	  0.0000
  1.7717	  3.5226	  0.1944	 -2.9666	  0.0000
  2.0203	  3.5226	  0.1929	 -3.1063	  0.0000
  2.2690	  3.5226	  0.3356	 -3.0827	  0.0000
  2.5176	  3.5226	  0.1991	 -2.7430	  0.0000
  2.7663	  3.5226	 -0.1283	 -2.5440	  0.0000
  3.0149	  3.5226	 -0.0374	 -3.0830	  0.0000
  3.2636	  3.5226	 -0.0975	 -3.1292	  0.0000
  3.5122	  3.5226	 -0.0021	 -3.1358	  0.0000
  3.7609	  3.5226	 -0.1523	 -2.9769	  0.0000
  4.0095	  3.5226	 -0.0732	 -2.9248	  0.0000
  4.2582	  3.5226	 -0.1486	 -2.9948	  0.0000
  4.5068	  3.5226	 -0.1748	 -2.6946	  0.0000
  4.7555	  3.5226	  0.0609	 -3.0892	  0.0000
  5.0041	  3.5226	 -0.1315	 -3.0755	  0.0000
  0.2797	  3.2739	 -0.2499	 -2.7490	  0.0000
  0.5284	  3.2739	 -0.1611	 -3.0774	  0.0000
  0.7770	  3.2739	 -0.0158	 -3.2040	  0.0000
  1.0257	  3.2739	 -0.0184	 -3.1439	  0.0000
  1.2743	  3.2739	  0.1040	 -3.1411	  0.0000
  1.5230	  3.2739	  0.2029	 -3.0417	  0.0000
  1.7717	  3.2739	  0.2017	 -3.0410	  0.0000
  2.0203	  3.2739	  0.2906	 -3.1938	  0.0000
  2.2690	  3.2739	 -0.0330	 -3.1288	  0.0000
  2.5176	  3.2739	 -0.0629	 -2.6442	  0.0000
  2.7663	  3.2739	 -0.3230	 -2.4614	  0.0000
  3.0149	  3.2739	 -0.3173	 -2.6085	  0.0000
  3.2636	  3.2739	 -0.1234	 -2.7329	  0.0000
  3.5122	  3.2739	  0.0105	 -2.8513	  0.0000
  3.7609	  3.2739	  0.0561	 -3.1509	  0.0000
  4.0095	  3.2739	 -0.1076	 -2.9878	  0.0000
  4.2582	  3.2739	 -0.1671	 -2.8435	  0.0000
  4.5068	  3.2739	 -0.1846	 -2.6618	  0.0000
  4.7555	  3.2739	 -0.1553	 -2.8423	  0.0000
  5.0041	  3.2739	 -0.1194	 -3.5042	  0.0000
  0.2797	  3.0253	 -0.3626	 -2.6248	  0.0000
  0.5284	  3.0253	 -0.4801	 -3.0216	  0.0000
  0.7770	  3.0253	 -0.0280	 -2.9090	  1.0000
  1.0257	  3.0253	  0.0149	 -3.1178	  0.0000
  1.2743	  3.0253	  0.0546	 -3.1057	  0.0000
  1.5230	  3.0253	  0.3696	 -2.8064	  0.0000
  1.7717	  3.0253	  0.3984	 -2.6060	  0.0000
  2.0203	  3.0253	  0.1031	 -2.9174	  1.0000
  2.2690	  3.0253	 -0.3381	 -3.0331	  0.0000
