# x	y	u	v	mask
  0.0312	  0.9824	  0.0000	  0.0000	  1.0000
  0.2392	  0.9824	-200.7663	-21.4650	  1.0000
  0.4472	  0.9824	-200.7663	-21.4650	  1.0000
  0.6552	  0.9824	-200.7663	-21.4650	  1.0000
  0.8632	  0.9824	-200.7663	-21.4650	  1.0000
  1.0712	  0.9824	  0.1135	  0.1581	  1.0000
  1.2792	  0.9824	  0.1135	  0.1581	  1.0000
  1.4872	  0.9824	  0.1135	  0.1581	  1.0000
  0.0312	  0.7744	  0.0000	  0.0000	  1.0000
  0.2392	  0.7744	-200.7663	-21.4650	  1.0000
  0.4472	  0.7744	-200.7663	-21.4650	  1.0000
  0.6552	  0.7744	-200.7663	-21.4650	  1.0000
  0.8632	  0.7744	-200.7663	-21.4650	  1.0000
  1.0712	  0.7744	  0.1135	  0.1581	  1.0000
  1.2792	  0.7744	  0.1135	  0.1581	  1.0000
  1.4872	  0.7744	  0.1135	  0.1581	  1.0000
  0.0312	  0.5664	  0.0000	  0.0000	  1.0000
  0.2392	  0.5664	-199.9256	 41.2715	  1.0000
  0.4472	  0.5664	-200.3387	 -2.3332	  1.0000
  0.6552	  0.5664	-199.3534	-12.6021	  1.0000
  0.8632	  0.5664	-196.1621	-13.3121	  1.0000
  1.0712	  0.5664	-38.4708	  3.6604	  1.0000
  1.2792	  0.5664	 -4.0212	  0.0996	  1.0000
  1.4872	  0.5664	 -3.5486	  0.1063	  1.0000
  0.0312	  0.3584	  0.0000	  0.0000	  1.0000
  0.2392	  0.3584	-199.7024	 57.8964	  1.0000
  0.4472	  0.3584	-198.5902	 46.0259	  1.0000
  0.6552	  0.3584	-188.3252	 24.3657	  1.0000
  0.8632	  0.3584	-172.0598	 15.6519	  1.0000
  1.0712	  0.3584	-78.9188	  8.8210	  1.0000
  1.2792	  0.3584	 -9.0417	  0.0285	  1.0000
  1.4872	  0.3584	 -9.0417	  0.0285	  1.0000
  0.0312	  0.1504	  0.0000	  0.0000	  1.0000
  0.2392	  0.1504	-199.7502	 55.4265	  1.0000
  0.4472	  0.1504	-198.3758	 46.0794	  1.0000
  0.6552	  0.1504	-181.7036	 29.3808	  1.0000
  0.8632	  0.1504	-162.6497	 19.7394	  1.0000
  1.0712	  0.1504	-84.4861	  9.5712	  1.0000
  1.2792	  0.1504	 -9.0417	  0.0285	  1.0000
  1.4872	  0.1504	 -9.0417	  0.0285	  1.0000
